	,0.01,0.03,0.05,0.07,0.09,0.11,0.13,0.15,0.17,0.19,0.21,0.23,0.25,0.27,0.29,0.31,0.33,0.35,0.37,0.39,0.41,0.43,0.45,0.47,0.49,0.51,0.53,0.55,0.57,0.59,0.61,0.63,0.65,0.67,0.69,0.71,0.73,0.75,0.77,0.79,0.81,0.83,0.85,0.87,0.89,0.91,0.93,0.95,0.97,0.99
0.01,4775,520,653,779,1012,1162,1488,1768,2032,2357,2878,3299,3680,4199,4627,5152,5614,6109,6514,40667,7205,7625,7831,7900,8126,8008,7898,7780,7599,7381,6876,6496,6138,5450,5156,4749,4133,3745,3242,2837,2410,2081,1729,1430,35382,1006,855,636,527,375
0.03,538,635,797,1041,1170,1520,1824,2250,2604,3058,3535,4050,4686,5315,5767,6353,7106,7912,8139,8861,9207,9428,9943,9947,10125,10211,10103,9924,9434,9346,42761,8381,7741,7232,6552,5954,5353,4610,4123,3716,3137,2733,2261,1810,1506,1240,1028,799,639,495
0.05,661,777,1030,1273,1583,1918,2273,2737,3411,3749,4432,5098,5965,6543,7381,8155,9024,9651,10664,11075,11678,12156,12317,12692,12789,12786,12732,12487,12210,11584,11170,10510,9704,8961,8202,7421,6645,5777,5372,4482,3850,3327,2730,2360,1992,1553,1282,1026,767,631
0.07,790,960,1319,1606,1985,2436,2891,3521,4137,4732,5587,6437,7305,8423,9307,10283,11193,12216,12962,13960,14620,15116,15562,15616,16064,15989,15733,15524,15162,14684,13910,12912,12245,11131,10341,9254,8200,7359,6441,5646,4763,4224,3476,2960,2337,2008,1553,1294,1024,802
0.09,1008,1221,1597,1979,2432,2981,3571,4262,5146,5916,6708,7854,9118,10069,11281,12691,13692,14745,15932,16951,17803,18767,19305,19768,19899,19640,19274,19360,18546,17891,17068,15895,15031,13889,12773,11348,10252,8867,8085,6972,5898,5098,4279,3662,3003,2487,1962,1574,1336,929
0.11,1209,1590,1855,2455,2931,3515,4376,5219,6054,7438,8494,9712,11045,12459,13815,15486,16896,18141,19538,20803,21540,22777,23619,23875,24233,24167,24143,23285,22579,21814,20755,19849,18366,16681,15391,13902,12542,11245,9660,8444,7308,6163,5214,4367,3676,2976,2410,1925,1526,1224
0.13,1429,1901,2385,2775,3593,4415,5260,6260,7479,8800,10034,11628,13502,15141,16769,18793,20490,22071,23969,24998,26374,27334,28491,28792,29163,29157,29134,28142,27605,26363,25161,23825,22054,20334,18629,16837,15006,13349,11635,10144,8820,7587,6330,5252,4487,3642,2955,2303,1786,1474
0.15,1772,2265,36831,3526,4221,5279,6401,7545,9000,10594,12020,13957,16002,18075,20126,22308,23956,26207,28187,30197,31655,32848,33985,34443,34927,35051,34476,34135,33023,65537,29664,28464,26443,24514,22393,19927,17971,15764,13994,12310,10428,8931,7695,6442,5219,4232,3579,2839,2267,1758
0.17,1977,2640,3286,4205,5096,6086,7435,9051,10569,12579,14484,16858,19058,21347,23808,26364,28967,31093,33666,35738,37572,39102,40118,40875,41542,41461,40643,40214,39023,37544,35828,33536,30776,28779,26305,23884,21346,19071,16635,14538,12530,10515,8863,7462,6247,5009,4146,3290,2593,2021
0.19,2546,3040,3953,4841,5998,7175,8809,10576,12555,14690,16856,19493,22129,25127,27687,31331,33877,36517,39348,41652,44167,45793,81038,48079,48272,48582,48433,47378,45787,43788,41566,39355,36890,33730,30954,27898,25302,22224,19666,17010,14633,12571,10414,8865,7270,5981,12027,3815,3064,2383
0.21,2874,3604,4580,5481,6876,8521,10464,12264,14504,17038,19604,22636,25697,29132,32621,35965,39107,42866,45590,48869,50981,53130,54817,55485,56569,56089,56025,88864,53303,50751,48558,45889,42662,39713,35948,32741,29575,59752,22547,20005,17052,14575,12152,10430,8480,6949,32302,4493,3663,2808
0.23,3219,3974,5291,6613,7993,9686,11615,13977,16841,19345,22873,26137,29666,33388,37146,41203,45196,49181,52951,55566,58662,60975,62987,64448,64973,64391,63671,63352,61007,58473,55912,52630,49194,45468,41483,37413,33643,29890,25922,22617,19632,16620,13981,11845,9605,7798,6405,5044,4064,3216
0.25,3550,4757,5886,7344,9183,10961,13549,15986,18922,22294,25684,29503,33493,38342,42925,47508,51314,55998,59632,63708,66684,69608,72129,73548,73890,73974,72979,71858,69005,67154,63391,59978,56028,51461,46851,42689,38262,33765,29745,25894,22204,18933,15878,13350,11008,9163,7400,5813,4716,3610
0.27,4074,5349,6755,8269,10221,12282,15130,17853,21264,25475,29471,33680,38255,43008,48399,53274,58127,62959,67453,71863,74762,78446,80570,82397,83298,83401,82890,81389,78245,75387,71368,67607,62465,57654,53325,47912,42943,38200,33497,29236,24977,21273,18128,15073,12294,10313,8308,6596,5389,4147
0.29,4724,5810,7393,9328,11238,13770,16687,20018,23869,27989,32282,37659,42517,48268,53904,59180,65118,69813,75588,79736,83822,86931,90039,92210,92517,93101,92327,90502,87599,83494,79850,75525,70073,65089,59117,53526,48105,42606,37590,32718,27888,23725,20229,16933,14107,11168,9089,7412,5823,4666
0.31,5189,6445,8057,10148,12625,15353,18649,22178,25996,31121,36128,41180,46556,87723,59109,65296,71562,77636,83058,88218,92647,96842,99763,101867,102220,102664,101641,99793,96031,92996,88219,82860,77193,72191,65508,59303,53273,46984,41411,35956,31240,26275,22206,18578,15220,12388,10180,8253,6488,5030
0.33,5498,7060,8862,11041,13909,16980,20207,24257,28825,33591,39430,45057,51666,58203,65088,72058,78400,84724,91168,96547,101578,105502,108781,111725,111944,111998,111569,108928,105965,101701,96676,91369,85779,78550,71443,64920,58063,52103,45227,39413,34326,29069,24000,20368,16813,13562,11314,8924,7112,5613
0.35,6165,7737,9686,11997,15133,18234,22029,26447,31420,36698,42470,49056,55919,63001,70246,77850,84728,92329,99068,104948,109832,114904,118676,121057,122180,122297,120364,118215,114718,110020,105135,98199,92007,85371,77568,70065,62874,55956,49164,42548,36724,31289,26413,21815,18053,14844,12110,9725,7786,6041
0.37,6561,8312,10271,13046,15998,19628,23555,28477,33604,39176,45856,52570,60118,67387,75827,83014,91078,98306,105720,111781,117796,122604,126773,129222,130693,130183,129316,126948,122653,118122,111702,105410,99184,90783,82429,75341,68041,60006,52631,45575,39069,33602,28554,23733,19532,15945,12902,10544,8257,6507
0.39,6937,8711,11025,13781,17104,20570,25045,29669,35639,41865,48633,55949,63140,71839,80073,88316,96627,139637,112675,119199,125930,129976,134256,137261,139095,138724,137140,135002,131006,125499,118953,112001,105216,96436,88614,80213,71598,63478,55644,48091,41509,35719,29904,25190,20638,17212,13892,11048,8918,7040
0.41,7224,9177,11664,14449,17808,21632,26169,31658,37566,43850,50974,58757,67033,75658,83821,93056,101391,110278,117962,125563,131604,137124,141808,143972,145616,145845,144499,141638,137660,132403,125320,117367,110506,102266,92835,84249,75590,66618,58994,51263,43910,37528,31704,26133,21991,17879,14481,11780,9283,7218
0.43,7624,9836,11957,14970,52981,22860,27518,32899,38858,45701,53012,60942,69788,78439,87436,96797,105727,114269,122477,130036,137146,142967,147239,150457,185743,151847,150704,147123,143151,172023,130328,123092,114678,106400,96817,87715,78880,69210,61020,53328,45563,39374,32946,27228,22641,18508,15154,12059,9707,7702
0.45,7672,9952,12492,15829,19196,23315,28345,34005,40411,47192,54639,62725,71809,80648,90946,99684,109356,118376,126955,134146,141667,147171,151443,154538,155937,156064,154814,151228,147059,141075,134347,126935,117892,109090,99609,89985,80744,71705,62628,54344,47034,40074,33839,28149,23510,19049,15628,12664,9894,7788
0.47,7999,9947,12660,15862,19657,23919,28754,34778,40934,47972,55638,64519,73267,82196,91575,101865,111711,120754,129954,137249,143849,149577,155175,156825,159833,159656,157749,154782,150398,144359,137451,130102,120160,111276,101855,91396,82294,73194,64119,55666,48191,41124,34653,28591,23948,19444,15969,12934,10201,7990
0.49,8191,10283,12985,15965,19790,24181,29309,34475,41447,48377,56357,64953,74163,83219,92692,102645,111923,121548,130495,139115,145275,151681,156563,159594,160163,160425,158978,156122,151518,145640,138461,129993,121711,111871,102459,93060,83095,73408,65076,56314,48477,41306,34701,29161,23860,19779,16145,12765,10171,8036
0.51,7889,44166,12920,15993,19839,24024,29407,34894,41617,48603,56061,65291,107683,82602,93105,102673,112450,121762,130645,138203,144938,151746,155997,159484,160606,160308,159522,156263,151905,145881,139098,130317,122268,112669,103328,92314,83288,73834,65045,56082,48596,41394,35048,29108,23997,19831,16124,12982,10378,8008
0.53,8060,10138,12893,16053,19645,24051,29045,34563,41295,47628,56070,64571,73311,82803,91580,101834,110657,120720,128828,137100,144015,150082,154768,157642,159265,158777,158038,154583,150556,145216,137345,128901,120667,111143,102431,92084,82711,72676,64857,55886,48538,40923,34428,28654,23846,19608,15820,12737,10177,8030
0.55,7765,9984,12569,15694,19157,23722,28488,33783,40381,47594,54690,63023,71682,80775,90420,99480,109355,118390,126968,134686,141845,147349,151595,154566,156216,156589,155009,151313,146584,141384,134447,126055,117468,108821,99375,90103,80755,71551,63360,54732,47166,40139,33537,28330,23539,19027,15796,12502,9816,7840
0.57,7508,9590,12039,15279,18589,22484,27238,32999,39107,45832,53053,61120,69893,78445,87470,96925,105145,114344,122986,130531,137465,142904,147097,149954,151878,151384,150216,148041,142703,137551,129971,122294,114505,105929,96476,88103,78479,69463,61261,87188,45871,39117,32860,27308,22725,18535,15202,12210,9591,7545
0.59,7228,43319,11598,14498,17878,21924,26458,31802,37338,44091,51150,58485,66879,75726,83778,92776,102310,110282,118153,125516,131676,137132,140895,144325,145687,145347,145084,141580,137636,166218,126229,117914,110447,102084,92771,84350,75324,66535,58575,51001,43899,37322,31614,26405,21771,18009,14430,11641,9229,7276
0.61,6994,8773,10997,13678,17153,20929,25083,30134,35537,41685,48754,55847,63911,71745,80548,88692,96543,104564,112203,118858,125456,130155,134615,137134,138471,138478,137812,134946,130113,125335,119379,112127,104564,96148,88587,79941,71679,63410,55469,48215,41791,35465,30036,25125,20810,17062,13812,11055,8757,7100
0.63,6524,8336,10379,12970,16219,19436,23501,28102,33628,39377,45941,52646,60012,67864,75302,82941,90720,98791,105953,112134,118247,123211,127468,129404,130666,130380,129933,126984,122191,118133,112548,105447,98476,90995,83320,74563,67516,59769,52555,45226,39022,33632,28183,23621,19428,16103,12952,10192,8370,6543
0.65,6140,7607,9730,12181,14919,18260,22166,26214,31053,36869,42571,49099,55749,62631,70406,77474,84507,92294,99381,104603,110272,114300,117646,120724,121736,121384,120611,118214,114432,110540,104202,99421,91752,84891,77232,70137,63139,55477,49269,42523,36485,31252,26337,21946,18222,15042,12093,9821,7587,6004
0.67,22752,7134,8968,11172,13687,16782,20470,24351,28710,33940,39323,45116,51711,58007,64896,71471,78399,85083,90880,96888,101335,105115,109300,111435,112413,111860,111243,108717,105309,101891,97092,91057,84861,78148,71774,64856,57968,51108,45136,39222,67498,28852,24404,20473,16892,13690,11142,9121,7024,5535
0.69,5142,6529,8110,10147,12657,15333,18759,22084,26628,30657,35981,41400,47228,53023,59377,65502,71552,77872,83473,88307,92979,96628,99711,102055,102701,102630,101597,99726,96778,93196,88231,83204,77396,71343,65190,59305,53606,46882,41013,35668,30864,26318,22052,18724,15348,12368,10164,8252,6486,5014
0.71,4671,5803,7418,9448,11525,13957,16937,19860,23841,28103,32603,37424,42493,47948,54026,59508,65292,70364,75721,79946,83999,87623,90304,91691,93011,92858,92278,90756,87440,84160,79701,75265,70304,65071,59238,54002,48050,42838,37573,32593,27872,23856,20134,16903,13935,11441,9211,7373,5863,4616
0.73,4185,5437,6756,8349,10299,12224,15157,17940,21506,25327,29208,33744,38327,43431,48225,53172,57890,62695,67110,71549,74977,78001,80672,82791,83543,83560,82141,80822,78520,75334,71439,67438,63063,58080,53047,47953,43118,37953,33571,29503,25092,21123,17992,14962,12450,10245,8238,6746,5161,4174
0.75,3801,4481,5862,7364,9017,11093,13439,16036,19039,22353,25773,29702,33850,37959,42527,46998,51605,56077,59895,64028,66703,69657,71574,72782,73878,74006,72953,71879,69523,66907,63424,59631,55545,51594,46847,42282,38295,33981,30150,25749,22325,18835,15856,13416,11160,8999,7233,5933,4615,3685
0.77,3241,4027,5294,6373,8055,9714,11704,14073,16753,19655,22630,26227,29554,33454,37472,41176,44998,48716,52694,56214,58509,61128,62974,64137,64751,64531,64655,96783,61064,58890,55850,52541,49250,45138,41104,37498,33403,29902,25959,22461,19474,50288,14231,11906,9706,7916,6352,5126,4196,3270
0.79,2819,3685,4531,5559,6974,8534,10286,12144,14408,16998,19711,22750,25599,28926,32497,35946,39261,42757,45558,48624,51140,53038,54837,55295,56255,56351,55912,54595,53182,51362,48337,45796,42400,39190,35971,32716,29307,25672,22800,19888,16804,14414,12029,10055,8473,6886,5568,4498,3574,2852
0.81,2332,3032,37912,4816,5829,7277,8802,10429,12353,14666,17124,19353,22010,25113,28223,30891,33623,36775,39072,41549,43982,45383,47290,48171,48533,48702,48089,46795,45504,43849,41817,39517,36695,33693,30943,28248,24940,22510,19321,17090,14498,12635,10466,8731,7399,5994,4785,3985,3074,2398
0.83,2154,2710,3361,4126,5118,6089,7486,9023,10657,12514,14711,16826,18837,21460,23885,26485,28971,31163,33520,35521,37450,38798,40173,41042,41505,41595,40922,40141,38743,37148,35647,33529,31292,28907,26406,23789,21678,18865,16522,14371,12480,10705,8929,7533,6279,5133,4148,3315,2569,2034
0.85,1728,2240,2777,3486,4245,5222,6330,7515,43245,10520,12397,14030,16040,18208,19949,22371,24326,26601,28345,29823,31459,32673,34180,34598,35020,35060,34234,33986,32699,31298,30068,28510,26241,24423,22352,20237,18023,15816,14083,12199,10545,8993,7603,6539,5145,4340,3489,2764,2262,1765
0.87,1452,1843,2355,2883,3661,4374,5141,6258,7492,8730,10255,11838,13321,14921,16692,18706,54099,22197,23609,25316,26727,27374,28048,28623,29299,29129,28679,28285,27552,26477,25120,23712,21841,20438,18597,16732,14983,13503,11708,10145,8803,7751,6353,5311,4296,3580,2880,2335,1756,1420
0.89,1186,1538,1919,2455,2936,3578,4292,5253,6180,7127,8388,9651,11144,12494,13918,15403,16631,18212,19657,20748,21850,22731,23612,23773,24401,24023,23902,23567,22749,22015,20899,19621,17964,16946,15458,14021,12494,11028,9786,8563,7166,6317,5175,4328,3619,2884,2364,1953,1512,1172
0.91,1041,1292,1536,1989,2435,2894,3638,4244,5184,5947,6956,7937,9035,10294,11313,12498,13671,15001,16087,17223,17802,18688,52948,19643,19969,19636,19808,19173,18750,18024,16938,16067,14930,13770,12580,11174,10217,9179,7991,6921,5888,5016,4304,3539,2866,2415,1941,1532,1240,984
0.93,809,979,1283,1498,1976,2435,2850,3458,4050,4912,5622,6383,7520,8293,9223,10240,11187,12159,13098,13968,14664,15058,15561,15711,15624,15976,15636,15246,15121,14508,13642,12965,12266,11115,10201,9074,8397,7411,6428,5781,4867,4085,3506,2888,2323,2023,1591,1320,1017,756
0.95,633,822,984,1331,1532,1858,2340,2836,3308,3916,4558,5121,5896,6633,7354,8135,8860,9622,10339,10881,11604,12161,12351,12847,12778,13035,12905,12280,11952,11636,11056,10313,9697,8979,8139,7334,6686,5819,5423,4609,3812,3294,2772,2422,1983,1606,1293,1021,819,634
0.97,511,694,793,1050,1221,1519,1877,2292,2627,3089,3488,4191,4824,5283,6004,6503,7110,7748,8300,8662,9357,9711,9975,10121,10270,10185,10067,9849,9644,9244,8786,8227,7838,7139,6565,5837,39091,4771,4212,3548,37037,2650,2207,1844,1549,1189,1025,830,623,483
0.99,407,500,623,769,1011,1240,1489,1599,2003,2535,2761,3260,3656,4088,4689,5139,5552,5936,6580,6869,7205,7506,7819,8026,8055,8174,8005,7683,7438,7346,6951,6483,6132,5506,5147,4617,4055,3678,3206,36784,2431,2042,1746,1421,1232,994,829,667,518,440
